Run ID,Run Name,Status,Created At,Model,Input Tokens,Output Tokens,Total Tokens,Cost ($)
019eecb6-d4ae-7831-9a65-f7ee42da475f,bedrock_converse,success,2026-06-22 00:24:25,sonnet-selected,0,0,0,0.000000
019eecb6-d496-7d10-9d78-ffe2a09b0aca,structuring,error,2026-06-22 00:24:25,-,0,0,0,0.000000
019eecb6-d495-7d22-a653-4a07ddd8453d,LangGraph,error,2026-06-22 00:24:25,-,0,0,0,0.000000
019eecb6-d46f-7101-b336-f1b23de8b8ea,_route_after_critic,success,2026-06-22 00:24:25,-,0,0,0,0.000000
019eecb6-d46d-7e92-be81-f128304d9da5,critic,success,2026-06-22 00:24:25,-,0,0,0,0.000000
019eecb6-d463-70d2-b9e7-a7effdda4b26,tech,success,2026-06-22 00:24:25,-,0,0,0,0.000000
019eecb6-d462-7471-bcf1-38b24b076756,market,success,2026-06-22 00:24:25,-,0,0,0,0.000000
019eecb6-d462-7471-bcf1-38ae96e5f219,ip,success,2026-06-22 00:24:25,-,0,0,0,0.000000
019eecb6-d460-7141-837d-bd697a3da0ac,competitor,success,2026-06-22 00:24:25,-,0,0,0,0.000000
019eecb6-d45f-7360-85ff-c98369b89262,bm,success,2026-06-22 00:24:25,-,0,0,0,0.000000
019eecb6-d44f-7d61-a6ed-da98f82470e7,structuring,success,2026-06-22 00:24:25,-,0,0,0,0.000000
019eecb6-d409-7051-b759-e73ee16569ef,LangGraph,success,2026-06-22 00:24:25,-,0,0,0,0.000000

TOTAL,,,,,,,0,0.000000
